epoch,loss,avg_dice,avg_precision,avg_recall,avg_accuracy,Tumor Core (TC)_dice,Tumor Core (TC)_precision,Tumor Core (TC)_recall,Tumor Core (TC)_accuracy,Whole Tumor (WT)_dice,Whole Tumor (WT)_precision,Whole Tumor (WT)_recall,Whole Tumor (WT)_accuracy,Enhancing Tumor (ET)_dice,Enhancing Tumor (ET)_precision,Enhancing Tumor (ET)_recall,Enhancing Tumor (ET)_accuracy,epoch_time_sec
96,0.235829,0.871831,0.848189,0.912693,0.999334,0.910844,0.908128,0.917641,0.999530,0.921824,0.920212,0.924765,0.998996,0.782826,0.716228,0.895675,0.999476,156.18
97,0.234817,0.877972,0.855130,0.911327,0.999317,0.913071,0.911138,0.917845,0.999515,0.919872,0.918232,0.922916,0.998960,0.800974,0.736022,0.893219,0.999477,154.62
98,0.233533,0.867542,0.843810,0.906284,0.994759,0.910053,0.907797,0.914973,0.999515,0.919886,0.917803,0.923552,0.998975,0.772688,0.705830,0.880328,0.985788,153.38
99,0.228967,0.867940,0.845899,0.904257,0.992475,0.911721,0.909105,0.916961,0.999519,0.919349,0.916425,0.924026,0.998976,0.772749,0.712166,0.871786,0.978930,154.02
100,0.226116,0.874022,0.850943,0.910730,0.999331,0.911359,0.910359,0.915039,0.999526,0.920779,0.919797,0.923242,0.998987,0.789929,0.722673,0.893909,0.999480,154.83
101,0.221817,0.869617,0.846701,0.909162,0.997047,0.910052,0.908242,0.915728,0.999517,0.920513,0.917942,0.924548,0.998987,0.778287,0.713918,0.887210,0.992637,154.89
102,0.219985,0.867841,0.847422,0.901137,0.994766,0.911104,0.908375,0.916147,0.999517,0.920787,0.920379,0.922332,0.998983,0.771632,0.713511,0.864931,0.985799,150.19
103,0.217483,0.861704,0.842013,0.897386,0.990194,0.904679,0.902336,0.911635,0.999515,0.919732,0.916814,0.924559,0.998974,0.760702,0.706888,0.855963,0.972094,151.80
104,0.212798,0.875624,0.855330,0.905883,0.994784,0.911789,0.909391,0.916698,0.999526,0.922699,0.921509,0.925167,0.999009,0.792385,0.735090,0.875785,0.985816,153.28
105,0.208165,0.873703,0.856070,0.904700,0.999342,0.911737,0.913883,0.912107,0.999525,0.921323,0.921751,0.922786,0.998988,0.788048,0.732576,0.879206,0.999514,152.08
106,0.205862,0.873676,0.855627,0.905522,0.997050,0.912505,0.912154,0.914941,0.999514,0.920239,0.919156,0.923306,0.998979,0.788285,0.735569,0.878320,0.992656,153.50
107,0.202190,0.876900,0.860045,0.904894,0.997060,0.913625,0.915087,0.914428,0.999531,0.919937,0.921200,0.920654,0.998977,0.797136,0.743846,0.879600,0.992672,154.27
108,0.198035,0.882169,0.865756,0.907475,0.999343,0.913160,0.913637,0.915742,0.999529,0.920776,0.920282,0.923258,0.998973,0.812570,0.763349,0.883424,0.999528,154.27
109,0.196407,0.873209,0.857733,0.903308,0.999326,0.907617,0.909090,0.910280,0.999506,0.917967,0.920774,0.917443,0.998954,0.794043,0.743335,0.882203,0.999519,151.75
110,0.193599,0.873748,0.860893,0.898906,0.997037,0.908189,0.914181,0.906206,0.999493,0.919337,0.922154,0.918562,0.998956,0.793716,0.746344,0.871950,0.992662,154.68
111,0.187989,0.875414,0.861933,0.898739,0.994771,0.911124,0.912573,0.912955,0.999520,0.919154,0.919730,0.920858,0.998954,0.795964,0.753498,0.862403,0.985838,153.99
112,0.184402,0.880448,0.866861,0.904408,0.999343,0.909996,0.913704,0.909553,0.999513,0.920074,0.920286,0.921630,0.998983,0.811274,0.766593,0.882041,0.999533,154.48
113,0.182696,0.879871,0.866378,0.903159,0.999340,0.910629,0.911525,0.913170,0.999517,0.917869,0.919003,0.919585,0.998955,0.811113,0.768607,0.876720,0.999549,152.98
114,0.179602,0.880404,0.867426,0.903839,0.999352,0.911663,0.913143,0.913506,0.999523,0.921754,0.922136,0.922889,0.998992,0.807794,0.766998,0.875121,0.999542,153.94
115,0.174190,0.882325,0.870200,0.902137,0.997070,0.908960,0.913420,0.907931,0.999514,0.921064,0.922715,0.921149,0.998996,0.816952,0.774465,0.877329,0.992699,156.27
116,0.178497,0.874941,0.863994,0.896754,0.999306,0.901335,0.904698,0.905086,0.999467,0.913677,0.915591,0.915022,0.998909,0.809813,0.771695,0.870156,0.999543,152.04
117,0.177279,0.871848,0.860685,0.895118,0.999310,0.902514,0.904808,0.905609,0.999474,0.915274,0.917461,0.916319,0.998915,0.797755,0.759786,0.863426,0.999541,154.20
118,0.168982,0.873133,0.863681,0.897831,0.999329,0.907607,0.911955,0.908109,0.999498,0.917962,0.920824,0.917687,0.998953,0.793830,0.758264,0.867699,0.999537,154.52
119,0.163621,0.880732,0.871776,0.898490,0.997073,0.910757,0.915863,0.909219,0.999523,0.920455,0.922858,0.920373,0.998981,0.810985,0.776606,0.865879,0.992715,148.56
120,0.165628,0.878931,0.868799,0.899935,0.999342,0.905534,0.909637,0.905825,0.999498,0.920752,0.922461,0.920915,0.998978,0.810506,0.774300,0.873063,0.999548,154.69
121,0.165947,0.871229,0.865617,0.888476,0.997015,0.897242,0.906951,0.895455,0.999455,0.914620,0.920283,0.912874,0.998906,0.801826,0.769618,0.857101,0.992684,153.38
122,0.160416,0.880099,0.872364,0.896224,0.997055,0.907405,0.909907,0.909068,0.999488,0.920206,0.920956,0.921445,0.998976,0.812686,0.786230,0.858160,0.992702,151.35
123,0.152751,0.881897,0.871776,0.899696,0.997088,0.912650,0.913533,0.915174,0.999540,0.921370,0.920931,0.923265,0.998999,0.811669,0.780862,0.860649,0.992723,152.85
